1455996441.935616,-0.819885,-0.353027,0.883179
1455996441.945870,-0.978638,-0.367188,0.856445
1455996441.956124,-0.959412,-0.369873,0.804321
1455996441.966378,-0.821838,-0.375305,0.790833
1455996441.976632,-0.680847,-0.362671,0.741272
1455996441.986886,-0.601318,-0.312134,0.589600
1455996441.997140,-0.616272,-0.245972,0.332458
1455996442.007394,-0.720825,-0.200256,0.028748
1455996442.017648,-0.971741,-0.133972,-0.056580
1455996442.026437,-1.182678,-0.088318,0.320374
1455996442.036691,-1.172668,-0.071899,0.455383
1455996442.046945,-1.034851,-0.038513,0.447449
1455996442.057199,-0.912964,0.024536,0.518066
1455996442.067452,-0.791199,0.120728,0.485046
1455996442.077706,-0.777100,0.230530,0.435669
1455996442.087960,-0.882874,0.261780,0.450317
1455996442.098214,-0.881958,0.232239,0.383179
1455996442.107003,-0.792358,0.214844,0.342285
1455996442.117257,-0.673401,0.236206,0.341003
1455996442.127511,-0.583069,0.312317,0.342163
1455996442.137765,-0.669861,0.356079,0.423767
1455996442.148019,-0.794861,0.351746,0.521423
1455996442.158273,-0.772888,0.264954,0.455322
1455996442.168527,-0.660156,0.196289,0.473145
1455996442.178781,-0.513245,0.224548,0.485046
1455996442.187570,-0.454651,0.312134,0.539795
1455996442.197824,-0.558167,0.356140,0.562439
1455996442.208077,-0.674866,0.301819,0.534790
1455996442.218331,-0.721252,0.210327,0.562195
1455996442.228585,-0.801941,0.163635,0.614563
1455996442.238839,-0.827637,0.147339,0.666992
1455996442.249093,-0.738647,0.161316,0.713440
1455996442.259347,-0.688599,0.172119,0.803467
1455996442.269601,-0.656738,0.119324,0.809692
1455996442.278390,-0.534363,0.081238,0.770081
1455996442.288644,-0.479431,0.140015,0.773010
1455996442.298898,-0.575439,0.222290,0.801514
1455996442.310616,-0.680969,0.204285,0.818542
1455996442.319406,-0.659973,0.150757,0.790222
1455996442.329659,-0.527649,0.176208,0.823059
1455996442.350167,-0.399658,0.255432,0.831970
1455996442.360421,-0.386047,0.267822,0.859741
1455996442.379464,-0.520325,0.214417,0.825317
1455996442.389718,-0.520813,0.179077,0.807739
